Ancestro Racial Definitivo;Año;Ciclo Vital Definitivo;Cod Mipio;Clasificación de la Desaparición;Departamento Hecho Dane;Día Definitivo;Entidad Usuario que Radica DEFINITIVO;Escolaridad ajustada;Estado Desaparición Definitivo;Estado civil;Factor de vulnerabilidad;Grupo EDAD;Localidad;Mayor Menor De Edad;Mes Definitivo;Municipio Hecho Dane;Número de registros;Sexo;Tipo aparición DEFINITIVA;Zona ocurrencia DEFINITIVO
Sin Información;01/01/2017 12:00:00 AM;(Más de 60) Adulto Mayor;5,36;Sin información;Antioquia;Domingo;Fiscalía - Cuerpo Técnico Investigación;Sin información;Aparecio Vivo;Soltero (a);Ninguno;(70 a 74);Comuna 03;b) Mayores de Edad (>18 años);Enero;Itagui;1;Hombre;Involuntaria (Trastorno Mental);Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Sin escolaridad;Continua Desaparecido;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(15 a 17);Chapinero;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación inicial y educación preescolar;Continua Desaparecido;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(55 a 59);Santa fe;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Aparecio Vivo;Soltero (a);Ninguno;(15 a 17);NA;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Amarilla;01/01/2017 12:00:00 AM;(18 a 28) Juventud;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Sin información;Continua Desaparecido;Soltero (a);Ninguno;(20 a 24);Engativa;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;41,001;Sin información;Huila;Domingo;Fiscalía - Cuerpo Técnico Investigación;Sin información;Continua Desaparecido;Soltero (a);Campesinos (as) y/o trabajadores (as) del campo;(10 a 14);NA;a) Menores de Edad (<18 años);Enero;Neiva;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Unión Libre;Ninguno;(50 a 54);NA;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Blanco;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Sin información;Continua Desaparecido;Unión Libre;Ninguno;(30 a 34);Rafael Uribe Uribe;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Centro Poblado - Inspeccion Corregimiento o Caserio
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(40 a 44);NA;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Negro;01/01/2017 12:00:00 AM;(18 a 28) Juventud;5,895;Sin información;Antioquia;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Desplazados (as);(20 a 24);NA;b) Mayores de Edad (>18 años);Enero;Zaragoza;1;Hombre;Sin Información;Cabecera Municipal
